review_id,product_id,rating,review_sentiment,review_text
R000001-00,P000001,4.4,negative,negative synthetic review for StrideIQ Sports.
R000001-01,P000001,3.6,positive,positive synthetic review for StrideIQ Sports.
R000001-02,P000001,4.6,positive,positive synthetic review for StrideIQ Sports.
R000002-00,P000002,4.2,neutral,neutral synthetic review for UrbanThread Fashion.
R000002-01,P000002,5.0,positive,positive synthetic review for UrbanThread Fashion.
R000002-02,P000002,4.6,positive,positive synthetic review for UrbanThread Fashion.
R000003-00,P000003,3.7,negative,negative synthetic review for KindTable Grocery.
R000003-01,P000003,4.6,positive,positive synthetic review for KindTable Grocery.
R000003-02,P000003,4.4,neutral,neutral synthetic review for KindTable Grocery.
R000004-00,P000004,3.2,negative,negative synthetic review for Bloomskin Beauty.
R000004-01,P000004,4.5,positive,positive synthetic review for Bloomskin Beauty.
R000004-02,P000004,5.0,positive,positive synthetic review for Bloomskin Beauty.
R000005-00,P000005,3.2,positive,positive synthetic review for PixelForge Electronics.
R000005-01,P000005,4.6,positive,positive synthetic review for PixelForge Electronics.
R000005-02,P000005,4.0,positive,positive synthetic review for PixelForge Electronics.
R000006-00,P000006,4.5,positive,positive synthetic review for HarvestHill Grocery.
R000007-00,P000007,4.2,positive,positive synthetic review for MotionWorks Sports.
R000008-00,P000008,3.0,neutral,neutral synthetic review for StrideIQ Sports.
R000009-00,P000009,4.7,positive,positive synthetic review for VoltEdge Electronics.
R000009-01,P000009,3.5,positive,positive synthetic review for VoltEdge Electronics.
R000009-02,P000009,4.0,neutral,neutral synthetic review for VoltEdge Electronics.
R000009-03,P000009,4.4,positive,positive synthetic review for VoltEdge Electronics.
R000010-00,P000010,4.0,positive,positive synthetic review for LinenLane Fashion.
R000011-00,P000011,4.5,negative,negative synthetic review for LumaHome Home.
R000011-01,P000011,4.8,neutral,neutral synthetic review for LumaHome Home.
R000011-02,P000011,4.5,positive,positive synthetic review for LumaHome Home.
R000011-03,P000011,3.3,positive,positive synthetic review for LumaHome Home.
R000012-00,P000012,4.6,positive,positive synthetic review for NorthPantry Grocery.
R000012-01,P000012,3.9,neutral,neutral synthetic review for NorthPantry Grocery.
R000012-02,P000012,3.0,positive,positive synthetic review for NorthPantry Grocery.
R000012-03,P000012,4.0,positive,positive synthetic review for NorthPantry Grocery.
R000013-00,P000013,2.8,neutral,neutral synthetic review for Bloomskin Beauty.
R000013-01,P000013,4.4,positive,positive synthetic review for Bloomskin Beauty.
R000014-00,P000014,3.8,positive,positive synthetic review for Fieldstone Sports.
R000015-00,P000015,3.2,positive,positive synthetic review for Arden Fashion.
R000015-01,P000015,3.9,positive,positive synthetic review for Arden Fashion.
R000015-02,P000015,4.9,neutral,neutral synthetic review for Arden Fashion.
R000016-00,P000016,4.7,neutral,neutral synthetic review for Hearthly Home.
R000016-01,P000016,4.5,positive,positive synthetic review for Hearthly Home.
R000017-00,P000017,4.9,positive,positive synthetic review for UrbanThread Fashion.
R000017-01,P000017,4.2,neutral,neutral synthetic review for UrbanThread Fashion.
R000017-02,P000017,3.8,positive,positive synthetic review for UrbanThread Fashion.
R000018-00,P000018,4.3,positive,positive synthetic review for Auralux Electronics.
R000018-01,P000018,4.0,positive,positive synthetic review for Auralux Electronics.
R000019-00,P000019,4.0,positive,positive synthetic review for Fieldstone Sports.
R000020-00,P000020,4.2,positive,positive synthetic review for Aster Beauty.
R000020-01,P000020,3.4,positive,positive synthetic review for Aster Beauty.
R000020-02,P000020,3.0,neutral,neutral synthetic review for Aster Beauty.
R000021-00,P000021,3.7,positive,positive synthetic review for StrideIQ Sports.
R000021-01,P000021,4.2,positive,positive synthetic review for StrideIQ Sports.
R000021-02,P000021,4.0,positive,positive synthetic review for StrideIQ Sports.
R000022-00,P000022,4.3,positive,positive synthetic review for NestForm Home.
R000022-01,P000022,4.5,neutral,neutral synthetic review for NestForm Home.
R000022-02,P000022,3.8,neutral,neutral synthetic review for NestForm Home.
R000023-00,P000023,4.3,positive,positive synthetic review for HarvestHill Grocery.
R000023-01,P000023,4.1,positive,positive synthetic review for HarvestHill Grocery.
R000024-00,P000024,4.5,negative,negative synthetic review for KindTable Grocery.
R000024-01,P000024,4.0,positive,positive synthetic review for KindTable Grocery.
R000024-02,P000024,5.0,positive,positive synthetic review for KindTable Grocery.
R000025-00,P000025,3.4,neutral,neutral synthetic review for Fieldstone Sports.
R000025-01,P000025,3.0,positive,positive synthetic review for Fieldstone Sports.
R000026-00,P000026,3.5,negative,negative synthetic review for PixelForge Electronics.
R000026-01,P000026,3.7,positive,positive synthetic review for PixelForge Electronics.
R000026-02,P000026,3.1,positive,positive synthetic review for PixelForge Electronics.
R000026-03,P000026,3.7,neutral,neutral synthetic review for PixelForge Electronics.
R000027-00,P000027,4.9,positive,positive synthetic review for LinenLane Fashion.
R000027-01,P000027,5.0,positive,positive synthetic review for LinenLane Fashion.
R000027-02,P000027,5.0,positive,positive synthetic review for LinenLane Fashion.
