product_id,category,product_category,brand,price,product_price,margin,product_margin,inventory,rating,review_count,price_elasticity_score,image_feature_vector,text_description
P000001,Sports,Sports,StrideIQ,100.43,100.43,0.286,0.286,759,4.25,369,1.224,"[0.4367,0.1120,0.3402,0.0339,0.1449,0.3163,-0.7302,-0.1602]","StrideIQ sports item with outdoor design, 369 reviews, and 4.2 average rating."
P000002,Fashion,Fashion,UrbanThread,49.43,49.43,0.358,0.358,517,4.57,590,0.578,"[-0.2042,0.0993,0.3575,0.4337,0.4838,-0.2127,-0.2820,0.5232]","UrbanThread fashion item with seasonal design, 590 reviews, and 4.6 average rating."
P000003,Grocery,Grocery,KindTable,16.87,16.87,0.289,0.289,397,4.21,149,1.005,"[0.0936,0.3695,-0.1827,0.2698,-0.3910,-0.2144,-0.2255,-0.7063]","KindTable grocery item with pantry design, 149 reviews, and 4.2 average rating."
P000004,Beauty,Beauty,Bloomskin,49.56,49.56,0.381,0.381,155,4.44,357,1.117,"[-0.1423,-0.0268,-0.5672,-0.4864,-0.4446,-0.3352,0.1344,-0.3044]","Bloomskin beauty item with daily care design, 357 reviews, and 4.4 average rating."
P000005,Electronics,Electronics,PixelForge,298.98,298.98,0.351,0.351,82,4.06,409,1.035,"[0.3255,-0.6691,0.1683,0.0921,-0.2301,-0.5601,0.0279,-0.2051]","PixelForge electronics item with gaming design, 409 reviews, and 4.1 average rating."
P000006,Grocery,Grocery,HarvestHill,19.48,19.48,0.508,0.508,569,4.23,235,1.225,"[0.4915,0.3020,0.1291,0.5292,-0.4299,-0.2314,-0.3351,-0.1410]","HarvestHill grocery item with family size design, 235 reviews, and 4.2 average rating."
P000007,Sports,Sports,MotionWorks,48.84,48.84,0.362,0.362,69,4.28,97,1.829,"[0.7409,0.1054,-0.2516,-0.5421,0.0681,-0.2067,-0.1056,-0.1556]","MotionWorks sports item with lightweight design, 97 reviews, and 4.3 average rating."
P000008,Sports,Sports,StrideIQ,74.35,74.35,0.393,0.393,745,3.43,247,0.985,"[-0.0200,0.6579,0.0485,0.3657,-0.1858,-0.4409,-0.3591,-0.2699]","StrideIQ sports item with training design, 247 reviews, and 3.4 average rating."
P000009,Electronics,Electronics,VoltEdge,701.08,701.08,0.447,0.447,564,4.32,151,1.136,"[-0.2565,0.1747,-0.1782,-0.4800,-0.5005,0.0676,0.6185,0.0627]","VoltEdge electronics item with gaming design, 151 reviews, and 4.3 average rating."
P000010,Fashion,Fashion,LinenLane,55.71,55.71,0.484,0.484,472,4.63,309,1.296,"[0.4502,0.0537,-0.3589,-0.4010,0.4839,0.5052,-0.0526,-0.1123]","LinenLane fashion item with premium cotton design, 309 reviews, and 4.6 average rating."
